factor,llm_model,ablation,modality,prob,model_pretty,ablation_pretty
Sequential,GPT-5 Mini,base_7,text,0.3594670987209732,GPT 5 Mini,base_7
Sequential,anthropic_claude-3.7-sonnet,base_7,text,0.21422483860508745,Claude 3.7 Sonnet,base_7
Sequential,gemma-3-4b-it,base_7,text,0.2607875089938149,Gemma 3 4B it,base_7
Sequential,google_gemini-2.5-flash-lite,base_7,text,0.22795338228221687,Gemini 2.5 Flash Lite,base_7
Sequential,meta-llama_llama-4-maverick,base_7,text,0.2740823838186367,Llama 4 Maverick,base_7
Sequential,microsoft_phi-4-multimodal-instruct,base_7,text,0.3847617735891196,Phi 4 Multimodal,base_7
Sequential,mistralai_mistral-small-3.2-24b-instruct,base_7,text,0.20231705392872723,Mistral 24B,base_7
Sequential,openai_gpt-4o-2024-08-06,base_7,text,0.23521405026988276,GPT 4o,base_7
Sequential,qwen_qwen2.5-vl-32b-instruct,base_7,text,0.3004281907887035,Qwen2.5 VL 32B,base_7
Sequential,GPT-5 Mini,base,text,0.9794427772966208,GPT 5 Mini,Base
Sequential,anthropic_claude-3.7-sonnet,base,text,0.5807593819650799,Claude 3.7 Sonnet,Base
Sequential,gemma-3-4b-it,base,text,0.43561398128595996,Gemma 3 4B it,Base
Sequential,google_gemini-2.5-flash-lite,base,text,0.6671919340030515,Gemini 2.5 Flash Lite,Base
Sequential,meta-llama_llama-4-maverick,base,text,0.5269164783937161,Llama 4 Maverick,Base
Sequential,microsoft_phi-4-multimodal-instruct,base,text,0.41471401218523013,Phi 4 Multimodal,Base
Sequential,mistralai_mistral-small-3.2-24b-instruct,base,text,0.9650161915895584,Mistral 24B,Base
Sequential,openai_gpt-4o-2024-08-06,base,text,0.9769331023053617,GPT 4o,Base
Sequential,qwen_qwen2.5-vl-32b-instruct,base,text,0.6171302407323823,Qwen2.5 VL 32B,Base
Sequential,GPT-5 Mini,base_3,text,0.9794427772966208,GPT 5 Mini,Noise
Sequential,anthropic_claude-3.7-sonnet,base_3,text,0.5807593819650799,Claude 3.7 Sonnet,Noise
Sequential,gemma-3-4b-it,base_3,text,0.43561398128595996,Gemma 3 4B it,Noise
Sequential,google_gemini-2.5-flash-lite,base_3,text,0.6671919340030515,Gemini 2.5 Flash Lite,Noise
Sequential,meta-llama_llama-4-maverick,base_3,text,0.5269164783937161,Llama 4 Maverick,Noise
Sequential,microsoft_phi-4-multimodal-instruct,base_3,text,0.41471401218523013,Phi 4 Multimodal,Noise
Sequential,mistralai_mistral-small-3.2-24b-instruct,base_3,text,0.9650161915895584,Mistral 24B,Noise
Sequential,openai_gpt-4o-2024-08-06,base_3,text,0.9769331023053617,GPT 4o,Noise
Sequential,qwen_qwen2.5-vl-32b-instruct,base_3,text,0.6171302407323823,Qwen2.5 VL 32B,Noise
Sequential,GPT-5 Mini,base_5,text,0.9794427772966208,GPT 5 Mini,Gradual noise
Sequential,anthropic_claude-3.7-sonnet,base_5,text,0.5807593819650799,Claude 3.7 Sonnet,Gradual noise
Sequential,gemma-3-4b-it,base_5,text,0.43561398128595996,Gemma 3 4B it,Gradual noise
Sequential,google_gemini-2.5-flash-lite,base_5,text,0.6671919340030515,Gemini 2.5 Flash Lite,Gradual noise
Sequential,meta-llama_llama-4-maverick,base_5,text,0.5269164783937161,Llama 4 Maverick,Gradual noise
Sequential,microsoft_phi-4-multimodal-instruct,base_5,text,0.41471401218523013,Phi 4 Multimodal,Gradual noise
Sequential,mistralai_mistral-small-3.2-24b-instruct,base_5,text,0.9650161915895584,Mistral 24B,Gradual noise
Sequential,openai_gpt-4o-2024-08-06,base_5,text,0.9769331023053617,GPT 4o,Gradual noise
Sequential,qwen_qwen2.5-vl-32b-instruct,base_5,text,0.6171302407323823,Qwen2.5 VL 32B,Gradual noise
