sample_id,actual_length,audio_path,text
sample_001,6.3,6.0_9.0/common_voice_en_42798328.mp3,"Five days later, Royal Marines boarded the platform and ended the broadcasting."
sample_002,8.676,6.0_9.0/common_voice_en_42752135.mp3,Okara is sometimes spread on fields as a natural nitrogen fertilizer.
sample_003,6.336,6.0_9.0/common_voice_en_42810263.mp3,"They are often black, bay or brown in color."
sample_004,8.568,6.0_9.0/common_voice_en_42814135.mp3,His experiences as a schoolboy there were instrumental in his later work.
sample_005,8.316,6.0_9.0/common_voice_en_42726291.mp3,The wide interior spaces created by the blending pose novel structural challenges.
sample_006,6.48,6.0_9.0/common_voice_en_42767185.mp3,"That year, the club reached fourth place in the local championship."
sample_007,6.3,6.0_9.0/common_voice_en_43193984.mp3,All plumbing codes require backflow prevention in several ways.
sample_008,6.192,6.0_9.0/common_voice_en_42789325.mp3,"For many years after Galien was established, he was president of the village."
sample_009,8.892,6.0_9.0/common_voice_en_42812836.mp3,Aina hii huvumilia hali ya jua kali.
sample_010,6.48,6.0_9.0/common_voice_en_42815717.mp3,The possible effect of platform capitalism on open science has been discussed.
sample_011,7.056,6.0_9.0/common_voice_en_42815757.mp3,The Rooftop Restaurant and Bar overlooks both the river and the Bancroft Gardens.
sample_012,6.516,6.0_9.0/common_voice_en_43208290.mp3,"Hence, the number of zeros in an interval of a given size slowly increases."
sample_013,8.316,6.0_9.0/common_voice_en_42699872.mp3,"Boocock is in the critically acclaimed avant-garde theatre company ""Elevator Repair Service""."
sample_014,8.28,6.0_9.0/common_voice_en_42788438.mp3,Postal codes ending in the digit one are used for post office boxes.
sample_015,6.3,6.0_9.0/common_voice_en_42833966.mp3,The crimes are therefore to be punished in accordance with existing canon provisions.
sample_016,6.408,6.0_9.0/common_voice_en_42833970.mp3,This is the only time an Amtrak operated train stops at this station.
sample_017,6.12,6.0_9.0/common_voice_en_42844893.mp3,Microsoft did not really provide such fonts for computers sold in Romania.
sample_018,8.1,6.0_9.0/common_voice_en_42844912.mp3,Excitable media can be modelled using both partial differential equations and cellular automata.
sample_019,6.408,6.0_9.0/common_voice_en_42844917.mp3,"She was criticized for running for such a position, given her past profession."
