factor,llm_model,ablation,modality,prob,model_pretty,ablation_pretty
Weber,GPT-5 Mini,base_1,image,1.1230359798913194e-16,GPT 5 Mini,Verbal steer
Weber,anthropic_claude-3.7-sonnet,base_1,image,4.8666602980381285e-08,Claude 3.7 Sonnet,Verbal steer
Weber,gemma-3-4b-it,base_1,image,0.19304060505931178,Gemma 3 4B it,Verbal steer
Weber,google_gemini-2.5-flash-lite,base_1,image,1.909008545602355e-07,Gemini 2.5 Flash Lite,Verbal steer
Weber,meta-llama_llama-4-maverick,base_1,image,0.0007178006717133887,Llama 4 Maverick,Verbal steer
Weber,microsoft_phi-4-multimodal-instruct,base_1,image,0.9999998621070535,Phi 4 Multimodal,Verbal steer
Weber,mistralai_mistral-small-3.2-24b-instruct,base_1,image,0.9999999999999492,Mistral 24B,Verbal steer
Weber,openai_gpt-4o-2024-08-06,base_1,image,9.465182950755825e-13,GPT 4o,Verbal steer
Weber,qwen_qwen2.5-vl-32b-instruct,base_1,image,0.9999560500738544,Qwen2.5 VL 32B,Verbal steer
Weber,GPT-5 Mini,base_1,text,1.0,GPT 5 Mini,Verbal steer
Weber,anthropic_claude-3.7-sonnet,base_1,text,0.9999971384743577,Claude 3.7 Sonnet,Verbal steer
Weber,gemma-3-4b-it,base_1,text,0.9999999853820153,Gemma 3 4B it,Verbal steer
Weber,google_gemini-2.5-flash-lite,base_1,text,0.9999999999996003,Gemini 2.5 Flash Lite,Verbal steer
Weber,meta-llama_llama-4-maverick,base_1,text,0.999890542998881,Llama 4 Maverick,Verbal steer
Weber,microsoft_phi-4-multimodal-instruct,base_1,text,0.9999999993607128,Phi 4 Multimodal,Verbal steer
Weber,mistralai_mistral-small-3.2-24b-instruct,base_1,text,0.9999994623673525,Mistral 24B,Verbal steer
Weber,openai_gpt-4o-2024-08-06,base_1,text,0.9999999968128063,GPT 4o,Verbal steer
Weber,qwen_qwen2.5-vl-32b-instruct,base_1,text,1.0,Qwen2.5 VL 32B,Verbal steer
Weber,GPT-5 Mini,base_1,text_image,0.8293363890807596,GPT 5 Mini,Verbal steer
Weber,anthropic_claude-3.7-sonnet,base_1,text_image,0.9215859957288852,Claude 3.7 Sonnet,Verbal steer
Weber,gemma-3-4b-it,base_1,text_image,0.0559988780813426,Gemma 3 4B it,Verbal steer
Weber,google_gemini-2.5-flash-lite,base_1,text_image,0.3371801511562953,Gemini 2.5 Flash Lite,Verbal steer
Weber,meta-llama_llama-4-maverick,base_1,text_image,0.9999029071858598,Llama 4 Maverick,Verbal steer
Weber,microsoft_phi-4-multimodal-instruct,base_1,text_image,0.9999999999541642,Phi 4 Multimodal,Verbal steer
Weber,mistralai_mistral-small-3.2-24b-instruct,base_1,text_image,0.9999999920383855,Mistral 24B,Verbal steer
Weber,openai_gpt-4o-2024-08-06,base_1,text_image,0.7285510830244007,GPT 4o,Verbal steer
Weber,qwen_qwen2.5-vl-32b-instruct,base_1,text_image,0.9999999998316444,Qwen2.5 VL 32B,Verbal steer
