llm_model,model_pretty,ablation,ablation_pretty,modality,nrmse,sqrt_bias_squared,sqrt_variance,n_sqrt_bias_squared,n_sqrt_variance
GPT-5 Mini,GPT 5 Mini,base,Base,image,0.36220277787393657,0.02566066666666665,0.07181281519493733,0.1218777157479518,0.3410816246936467
GPT-5 Mini,GPT 5 Mini,base,Base,text,0.09134634089002532,0.011930172967368813,0.015096636847021188,0.056636669916299155,0.07166897246918565
GPT-5 Mini,GPT 5 Mini,base,Base,text_image,0.3315821960059997,0.036419470088376066,0.059524402161724214,0.1730538248256553,0.28284116818697497
GPT-5 Mini,GPT 5 Mini,base_1,Verbal Cue,image,0.3576914752393354,0.01839399999999998,0.07302907414630605,0.08736400860465399,0.3468583593621726
GPT-5 Mini,GPT 5 Mini,base_1,Verbal Cue,text,0.09932137094546414,0.011410357244666661,0.017529054067780107,0.05418396637270597,0.08323960904886542
GPT-5 Mini,GPT 5 Mini,base_1,Verbal Cue,text_image,0.2792136210010052,0.029538292199999993,0.05085136603778339,0.14024459143230364,0.24143674270184973
GPT-5 Mini,GPT 5 Mini,base_2,Numerical Cue,image,0.32775873084642876,0.009527333333333318,0.06834691038778239,0.04525095309952917,0.3246199884320834
GPT-5 Mini,GPT 5 Mini,base_2,Numerical Cue,text,0.08711057421278351,0.012826758165330888,0.01314385300817014,0.060839864955881305,0.06234390885909376
GPT-5 Mini,GPT 5 Mini,base_2,Numerical Cue,text_image,0.24352488393896532,0.025773333333333325,0.04435845679111131,0.1223421639620638,0.21056296923857726
GPT-5 Mini,GPT 5 Mini,base_3,Noise,image,0.45351109939290224,0.028927333333333322,0.09097965134883489,0.13741676553018858,0.43219087198109585
GPT-5 Mini,GPT 5 Mini,base_3,Noise,text_image,0.3328272919386263,0.03616853333333333,0.060147108940072004,0.1715180333455177,0.2852289790615348
GPT-5 Mini,GPT 5 Mini,base_4,Short context,image,0.32083821385774397,0.01932733333333332,0.06472672111440701,0.0917969618157198,0.30742556379200275
GPT-5 Mini,GPT 5 Mini,base_4,Short context,text,0.13246676438849625,0.014784295743758058,0.023705694044354155,0.07009891354585793,0.11239922591925494
GPT-5 Mini,GPT 5 Mini,base_4,Short context,text_image,0.28078824977891786,0.03056332191333333,0.05042610006612519,0.14554016820638999,0.24012517704806316
GPT-5 Mini,GPT 5 Mini,base_5,Gradual noise,image,0.40898973172229225,0.03572733333333333,0.07834904738554402,0.16969028252444698,0.3721260655625268
GPT-5 Mini,GPT 5 Mini,base_5,Gradual noise,text_image,0.38069418293844887,0.03252259999999999,0.07323512988932747,0.1545100220734676,0.3479291795783011
GPT-5 Mini,GPT 5 Mini,base_6,Compressed Numerical Cue,image,0.38028007704987604,0.02102733333333332,0.07725534388995725,0.09987126945016102,0.3669314193953319
GPT-5 Mini,GPT 5 Mini,base_6,Compressed Numerical Cue,text,0.20891544439126564,0.01806430930266666,0.040213591921718216,0.08560615102122979,0.1905708524736414
GPT-5 Mini,GPT 5 Mini,base_6,Compressed Numerical Cue,text_image,0.3116160387287432,0.036647333333333316,0.05444633810357579,0.1740015142293205,0.25851117700961623
GPT-5 Mini,GPT 5 Mini,base_7,Longer Context,image,0.43926550295338185,0.007904666666666655,0.09203283061796781,0.03758995943816395,0.43765417515925126
GPT-5 Mini,GPT 5 Mini,base_7,Longer Context,text,0.09967058448376838,0.010275935605338774,0.018275750647153158,0.048849550016002774,0.08687892077236027
GPT-5 Mini,GPT 5 Mini,base_7,Longer Context,text_image,0.32585455037407807,0.03630757122331084,0.05816279563075675,0.1725515677827994,0.2764184227854406
GPT-5 Mini,GPT 5 Mini,base_8,Reverse Order,image,0.3595622462283362,0.00819399999999998,0.0752590499807166,0.038918162798006625,0.35744983636476113
GPT-5 Mini,GPT 5 Mini,base_8,Reverse Order,text,0.1507607357115533,0.014248372095059232,0.028397986430207352,0.06760963082908222,0.13475064842680362
GPT-5 Mini,GPT 5 Mini,base_8,Reverse Order,text_image,0.28990780171894426,0.02924382906666666,0.0536711193097459,0.13870843694694404,0.25457121403891353
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base,Base,image,0.7433797695635965,0.05900600000000001,0.14496570929246222,0.2802544683987289,0.6885280783954796
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base,Base,text,0.28246576845318316,0.005860666666666659,0.05921037206060739,0.027822617861228152,0.28109217755603827
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base,Base,text_image,0.25603426603539636,0.004660666666666669,0.05368090063410718,0.02214601670334375,0.2550746936261207
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_1,Verbal Cue,image,0.6694118220172942,0.014406000000000004,0.1402027153945315,0.06842263281280021,0.6659057972232095
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_1,Verbal Cue,text,0.26681074168370494,0.00012733333333332672,0.056186327158442705,0.0006046633688601126,0.2668100565196505
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_1,Verbal Cue,text_image,0.2341609700450763,0.01362733333333333,0.04739888211996378,0.06470109316763906,0.2250447254111138
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_2,Numerical Cue,image,0.3620507369165655,0.00013933333333333723,0.07622761634006989,0.000661776586509123,0.36205013209993125
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_2,Numerical Cue,text,0.24361343297431864,0.0076606666666666655,0.050786052149078185,0.03633606554864037,0.24088834564166395
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_2,Numerical Cue,text_image,0.21332388909174987,0.016727333333333327,0.0417110044579232,0.07940215302566328,0.19799590842267004
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_3,Noise,image,0.6410576707011981,0.026939333333333343,0.1322315339075954,0.12797294550274008,0.6281543300688124
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_3,Noise,text_image,0.3225662931114726,0.008660666666666665,0.06746693332951252,0.041070521174789515,0.31994097227786816
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_4,Short context,image,0.5380890070042782,0.024406000000000008,0.1106315328948608,0.1159185600742192,0.525454723919359
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_4,Short context,text,0.3947706325391255,0.019139333333333335,0.0810298884746994,0.09074808133658545,0.38419869605331786
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_4,Short context,text_image,0.3804048525524067,0.0012606666666666537,0.07987477465522029,0.006003196878897224,0.380357481157728
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_5,Gradual noise,image,0.49240237296023615,0.0013273333333333366,0.1036640491823896,0.006304292745165695,0.4923620139590936
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_5,Gradual noise,text_image,0.27908897141152555,0.01612733333333333,0.05648796355173571,0.07661855538362564,0.26836589003535755
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_6,Compressed Numerical Cue,image,0.4910919846049821,0.03146066666666666,0.09849413193801052,0.14942535355957484,0.46780701262043517
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_6,Compressed Numerical Cue,text,0.3495685672701105,0.047993999999999995,0.05601617210532449,0.2274419432967964,0.26545874566993377
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_6,Compressed Numerical Cue,text_image,0.28280415180040774,0.03446066666666666,0.04858178698053646,0.1636192223541105,0.23066629218805287
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_7,Longer Context,image,0.8995848280533848,0.05966200000000001,0.17951599396525464,0.2837174867166747,0.853672800664875
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_7,Longer Context,text,0.24440528157066027,0.014037999999999995,0.049459197553808606,0.06673358119998059,0.23511820601531336
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_7,Longer Context,text_image,0.24279619819449996,0.0038046666666666598,0.050946280644965196,0.018081661100007453,0.24212196800283814
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_8,Reverse Order,image,0.6641151705522222,0.02853933333333335,0.13688219518825506,0.1355502100089391,0.6501346786044718
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_8,Reverse Order,text,0.27175451442879095,0.015260666666666664,0.05520017777346574,0.07241304709446703,0.26192912538112756
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_8,Reverse Order,text_image,0.4404385415236202,0.015706000000000005,0.09151953054221086,0.07449621955190237,0.4340926423379328
gemma-3-4b-it,Gemma 3 4B it,base,Base,image,1.1531392929492894,0.02012733333333331,0.24195125547560656,0.09559663599663326,1.1491699230878412
gemma-3-4b-it,Gemma 3 4B it,base,Base,text,0.9155322404850065,0.051158444444444416,0.18594207415957648,0.24286688377078533,0.8827315334431889
gemma-3-4b-it,Gemma 3 4B it,base,Base,text_image,1.029104754812171,0.03585222224444443,0.21358872639963836,0.17035844214220963,1.0149062013643915
gemma-3-4b-it,Gemma 3 4B it,base_1,Verbal Cue,image,0.8697418904900822,0.02773933333333337,0.18100605411483403,0.13175053582802568,0.8597050380114626
gemma-3-4b-it,Gemma 3 4B it,base_1,Verbal Cue,text,0.9786763528179989,0.04372733333333331,0.20140279680172157,0.20764646610945384,0.9563944524501361
gemma-3-4b-it,Gemma 3 4B it,base_1,Verbal Cue,text_image,0.9826247962902956,0.01919399999999996,0.20606829758763637,0.09113101968541132,0.978389813691681
gemma-3-4b-it,Gemma 3 4B it,base_2,Numerical Cue,image,0.6999258004264131,0.018272666666666673,0.14622818205196364,0.08678772468721556,0.6945243098309598
gemma-3-4b-it,Gemma 3 4B it,base_2,Numerical Cue,text,0.8099557604098875,0.04166066666666666,0.16560156730203038,0.1976048274475751,0.785481168450634
gemma-3-4b-it,Gemma 3 4B it,base_2,Numerical Cue,text_image,0.861083917567144,0.024339333333333345,0.17976082747052788,0.11553518013685957,0.8532977998585977
gemma-3-4b-it,Gemma 3 4B it,base_3,Noise,image,1.5991178746949373,0.026660666666666645,0.3355697469869548,0.1266491638892344,1.594094716902045
gemma-3-4b-it,Gemma 3 4B it,base_3,Noise,text_image,1.1108757353443641,0.05142977779999998,0.22853841485958862,0.243889744224804,1.0837724355411709
gemma-3-4b-it,Gemma 3 4B it,base_4,Short context,image,1.0287753170479008,0.008749553333333337,0.21642606035409373,0.04155681486899062,1.0279356420053511
gemma-3-4b-it,Gemma 3 4B it,base_4,Short context,text,0.9773891978168795,0.04339511111111109,0.20151801579554332,0.2057554985921456,0.9554864304678642
gemma-3-4b-it,Gemma 3 4B it,base_4,Short context,text_image,0.9752125517966515,0.017927333266666647,0.20400770169681579,0.08536857042311319,0.9714688509497618
gemma-3-4b-it,Gemma 3 4B it,base_5,Gradual noise,image,1.2563583641447056,0.026393999999999966,0.2631990735875287,0.1253607504137891,1.2500884054386125
gemma-3-4b-it,Gemma 3 4B it,base_5,Gradual noise,text_image,1.1209788694439566,0.05273177777777777,0.22998546179613236,0.2505208116330685,1.0926266282122912
gemma-3-4b-it,Gemma 3 4B it,base_6,Compressed Numerical Cue,image,0.8605526427050562,0.03692733333333332,0.177381508693049,0.1753897937958172,0.8424899234405815
gemma-3-4b-it,Gemma 3 4B it,base_6,Compressed Numerical Cue,text,0.9038080696177284,0.09839199999999998,0.16337846880581705,0.4662763613130472,0.7742450397560126
gemma-3-4b-it,Gemma 3 4B it,base_6,Compressed Numerical Cue,text_image,0.8783125582065137,0.010272666666666689,0.18470036967898998,0.048774614483265845,0.8769572320730807
