model,sample_id,text,ground_truth,input_values,prediction,prompt_sent,response
microsoft/phi-4-multimodal-instruct,sample_001,0.48727,0.48727,0.48727,0.64,"[{""role"": ""system"", ""content"": ""You are a marker location estimator.""}, {""role"": ""user"", ""content"": ""\nYou are given a text-based representation of a horizontal line. \n\nHere is the text based line with a red dot marked as \""\""O\""\"":\n|-.----------.--.---O-----.-------------=|\n\nThe left end of the line corresponds to 0.0, the right end corresponds to 1.0.\n\nEstimate the horizontal position of the **center** of the red dot as a decimal number between 0 and 1.\n\nDo not explain or reason. Only output the final answer as a number between 0 and 1:\n\nFinal Answer:\n""}]",0.64
microsoft/phi-4-multimodal-instruct,sample_002,0.77536,0.77536,0.77536,0.79,"[{""role"": ""system"", ""content"": ""You are a marker location estimator.""}, {""role"": ""user"", ""content"": ""\nYou are given a text-based representation of a horizontal line. \n\nHere is the text based line with a red dot marked as \""\""O\""\"":\n|-.----------.--.---O-----.-------------=|\n\nThe left end of the line corresponds to 0.0, the right end corresponds to 1.0.\n\nEstimate the horizontal position of the **center** of the red dot as a decimal number between 0 and 1.\n\nDo not explain or reason. Only output the final answer as a number between 0 and 1:\n\nFinal Answer:\n""}, {""role"": ""assistant"", ""content"": ""0.64""}, {""role"": ""user"", ""content"": ""\nYou are given a text-based representation of a horizontal line. \n\nHere is the text based line with a red dot marked as \""\""O\""\"":\n|--------------------=-----=---O------ -.|\n\nThe left end of the line corresponds to 0.0, the right end corresponds to 1.0.\n\nEstimate the horizontal position of the **center** of the red dot as a decimal number between 0 and 1.\n\nDo not explain or reason. Only output the final answer as a number between 0 and 1:\n\nFinal Answer:\n""}]",0.79
microsoft/phi-4-multimodal-instruct,sample_003,0.666,0.666,0.666,0.41,"[{""role"": ""system"", ""content"": ""You are a marker location estimator.""}, {""role"": ""user"", ""content"": ""\nYou are given a text-based representation of a horizontal line. \n\nHere is the text based line with a red dot marked as \""\""O\""\"":\n|-.----------.--.---O-----.-------------=|\n\nThe left end of the line corresponds to 0.0, the right end corresponds to 1.0.\n\nEstimate the horizontal position of the **center** of the red dot as a decimal number between 0 and 1.\n\nDo not explain or reason. Only output the final answer as a number between 0 and 1:\n\nFinal Answer:\n""}, {""role"": ""assistant"", ""content"": ""0.64""}, {""role"": ""user"", ""content"": ""\nYou are given a text-based representation of a horizontal line. \n\nHere is the text based line with a red dot marked as \""\""O\""\"":\n|--------------------=-----=---O------ -.|\n\nThe left end of the line corresponds to 0.0, the right end corresponds to 1.0.\n\nEstimate the horizontal position of the **center** of the red dot as a decimal number between 0 and 1.\n\nDo not explain or reason. Only output the final answer as a number between 0 and 1:\n\nFinal Answer:\n""}, {""role"": ""assistant"", ""content"": ""0.79""}, {""role"": ""user"", ""content"": ""\nYou are given a text-based representation of a horizontal line. \n\nHere is the text based line with a red dot marked as \""\""O\""\"":\n|-------------=---.-------O---.-----~----|\n\nThe left end of the line corresponds to 0.0, the right end corresponds to 1.0.\n\nEstimate the horizontal position of the **center** of the red dot as a decimal number between 0 and 1.\n\nDo not explain or reason. Only output the final answer as a number between 0 and 1:\n\nFinal Answer:\n""}]",0.41
microsoft/phi-4-multimodal-instruct,sample_004,0.59933,0.59933,0.59933,0.625,"[{""role"": ""system"", ""content"": ""You are a marker location estimator.""}, {""role"": ""user"", ""content"": ""\nYou are given a text-based representation of a horizontal line. \n\nHere is the text based line with a red dot marked as \""\""O\""\"":\n|.---~------~----------=O-----------~----|\n\nThe left end of the line corresponds to 0.0, the right end corresponds to 1.0.\n\nEstimate the horizontal position of the **center** of the red dot as a decimal number between 0 and 1.\n\nDo not explain or reason. Only output the final answer as a number between 0 and 1:\n\nFinal Answer:\n""}]",0.625
microsoft/phi-4-multimodal-instruct,sample_005,0.37801,0.37801,0.37801,0.3125,"[{""role"": ""system"", ""content"": ""You are a marker location estimator.""}, {""role"": ""user"", ""content"": ""\nYou are given a text-based representation of a horizontal line. \n\nHere is the text based line with a red dot marked as \""\""O\""\"":\n|.---~------~----------=O-----------~----|\n\nThe left end of the line corresponds to 0.0, the right end corresponds to 1.0.\n\nEstimate the horizontal position of the **center** of the red dot as a decimal number between 0 and 1.\n\nDo not explain or reason. Only output the final answer as a number between 0 and 1:\n\nFinal Answer:\n""}, {""role"": ""assistant"", ""content"": ""0.625""}, {""role"": ""user"", ""content"": ""\nYou are given a text-based representation of a horizontal line. \n\nHere is the text based line with a red dot marked as \""\""O\""\"":\n|----------~----O-=-- -------.-----------|\n\nThe left end of the line corresponds to 0.0, the right end corresponds to 1.0.\n\nEstimate the horizontal position of the **center** of the red dot as a decimal number between 0 and 1.\n\nDo not explain or reason. Only output the final answer as a number between 0 and 1:\n\nFinal Answer:\n""}]",0.3125
microsoft/phi-4-multimodal-instruct,sample_006,0.378,0.378,0.378,0.25,"[{""role"": ""system"", ""content"": ""You are a marker location estimator.""}, {""role"": ""user"", ""content"": ""\nYou are given a text-based representation of a horizontal line. \n\nHere is the text based line with a red dot marked as \""\""O\""\"":\n|.---~------~----------=O-----------~----|\n\nThe left end of the line corresponds to 0.0, the right end corresponds to 1.0.\n\nEstimate the horizontal position of the **center** of the red dot as a decimal number between 0 and 1.\n\nDo not explain or reason. Only output the final answer as a number between 0 and 1:\n\nFinal Answer:\n""}, {""role"": ""assistant"", ""content"": ""0.625""}, {""role"": ""user"", ""content"": ""\nYou are given a text-based representation of a horizontal line. \n\nHere is the text based line with a red dot marked as \""\""O\""\"":\n|----------~----O-=-- -------.-----------|\n\nThe left end of the line corresponds to 0.0, the right end corresponds to 1.0.\n\nEstimate the horizontal position of the **center** of the red dot as a decimal number between 0 and 1.\n\nDo not explain or reason. Only output the final answer as a number between 0 and 1:\n\nFinal Answer:\n""}, {""role"": ""assistant"", ""content"": ""0.3125""}, {""role"": ""user"", ""content"": ""\nYou are given a text-based representation of a horizontal line. \n\nHere is the text based line with a red dot marked as \""\""O\""\"":\n|------- ---.-O-=-----------=------------|\n\nThe left end of the line corresponds to 0.0, the right end corresponds to 1.0.\n\nEstimate the horizontal position of the **center** of the red dot as a decimal number between 0 and 1.\n\nDo not explain or reason. Only output the final answer as a number between 0 and 1:\n\nFinal Answer:\n""}]",0.25
microsoft/phi-4-multimodal-instruct,sample_007,0.32904,0.32904,0.32904,0.47,"[{""role"": ""system"", ""content"": ""You are a marker location estimator.""}, {""role"": ""user"", ""content"": ""\nYou are given a text-based representation of a horizontal line. \n\nHere is the text based line with a red dot marked as \""\""O\""\"":\n|--.---------O--=--~------------.------- |\n\nThe left end of the line corresponds to 0.0, the right end corresponds to 1.0.\n\nEstimate the horizontal position of the **center** of the red dot as a decimal number between 0 and 1.\n\nDo not explain or reason. Only output the final answer as a number between 0 and 1:\n\nFinal Answer:\n""}]",0.47
microsoft/phi-4-multimodal-instruct,sample_008,0.73309,0.73309,0.73309,0.75,"[{""role"": ""system"", ""content"": ""You are a marker location estimator.""}, {""role"": ""user"", ""content"": ""\nYou are given a text-based representation of a horizontal line. \n\nHere is the text based line with a red dot marked as \""\""O\""\"":\n|--.---------O--=--~------------.------- |\n\nThe left end of the line corresponds to 0.0, the right end corresponds to 1.0.\n\nEstimate the horizontal position of the **center** of the red dot as a decimal number between 0 and 1.\n\nDo not explain or reason. Only output the final answer as a number between 0 and 1:\n\nFinal Answer:\n""}, {""role"": ""assistant"", ""content"": ""0.47""}, {""role"": ""user"", ""content"": ""\nYou are given a text-based representation of a horizontal line. \n\nHere is the text based line with a red dot marked as \""\""O\""\"":\n|----.-------------- --------O--=----~.--|\n\nThe left end of the line corresponds to 0.0, the right end corresponds to 1.0.\n\nEstimate the horizontal position of the **center** of the red dot as a decimal number between 0 and 1.\n\nDo not explain or reason. Only output the final answer as a number between 0 and 1:\n\nFinal Answer:\n""}]",0.75
microsoft/phi-4-multimodal-instruct,sample_009,0.60056,0.60056,0.60056,0.58,"[{""role"": ""system"", ""content"": ""You are a marker location estimator.""}, {""role"": ""user"", ""content"": ""\nYou are given a text-based representation of a horizontal line. \n\nHere is the text based line with a red dot marked as \""\""O\""\"":\n|--.---------O--=--~------------.------- |\n\nThe left end of the line corresponds to 0.0, the right end corresponds to 1.0.\n\nEstimate the horizontal position of the **center** of the red dot as a decimal number between 0 and 1.\n\nDo not explain or reason. Only output the final answer as a number between 0 and 1:\n\nFinal Answer:\n""}, {""role"": ""assistant"", ""content"": ""0.47""}, {""role"": ""user"", ""content"": ""\nYou are given a text-based representation of a horizontal line. \n\nHere is the text based line with a red dot marked as \""\""O\""\"":\n|----.-------------- --------O--=----~.--|\n\nThe left end of the line corresponds to 0.0, the right end corresponds to 1.0.\n\nEstimate the horizontal position of the **center** of the red dot as a decimal number between 0 and 1.\n\nDo not explain or reason. Only output the final answer as a number between 0 and 1:\n\nFinal Answer:\n""}, {""role"": ""assistant"", ""content"": ""0.75""}, {""role"": ""user"", ""content"": ""\nYou are given a text-based representation of a horizontal line. \n\nHere is the text based line with a red dot marked as \""\""O\""\"":\n|------. --------.------O ---------------|\n\nThe left end of the line corresponds to 0.0, the right end corresponds to 1.0.\n\nEstimate the horizontal position of the **center** of the red dot as a decimal number between 0 and 1.\n\nDo not explain or reason. Only output the final answer as a number between 0 and 1:\n\nFinal Answer:\n""}]",0.58
microsoft/phi-4-multimodal-instruct,sample_010,0.65404,0.65404,0.65404,0.72,"[{""role"": ""system"", ""content"": ""You are a marker location estimator.""}, {""role"": ""user"", ""content"": ""\nYou are given a text-based representation of a horizontal line. \n\nHere is the text based line with a red dot marked as \""\""O\""\"":\n|-=-----------=------=----O---.------- --|\n\nThe left end of the line corresponds to 0.0, the right end corresponds to 1.0.\n\nEstimate the horizontal position of the **center** of the red dot as a decimal number between 0 and 1.\n\nDo not explain or reason. Only output the final answer as a number between 0 and 1:\n\nFinal Answer:\n""}]",0.72
