factor,llm_model,ablation,modality,prob,model_pretty,ablation_pretty
Bayesian,GPT-5 Mini,base_1,image,0.5013166077034589,GPT 5 Mini,Verbal steer
Bayesian,anthropic_claude-3.7-sonnet,base_1,image,0.6189987606607569,Claude 3.7 Sonnet,Verbal steer
Bayesian,gemma-3-4b-it,base_1,image,0.10252574349761683,Gemma 3 4B it,Verbal steer
Bayesian,google_gemini-2.5-flash-lite,base_1,image,1.0,Gemini 2.5 Flash Lite,Verbal steer
Bayesian,meta-llama_llama-4-maverick,base_1,image,0.996245839228669,Llama 4 Maverick,Verbal steer
Bayesian,microsoft_phi-4-multimodal-instruct,base_1,image,0.9999976548439553,Phi 4 Multimodal,Verbal steer
Bayesian,mistralai_mistral-small-3.2-24b-instruct,base_1,image,0.8717285157498694,Mistral 24B,Verbal steer
Bayesian,openai_gpt-4o-2024-08-06,base_1,image,0.999999999998164,GPT 4o,Verbal steer
Bayesian,qwen_qwen2.5-vl-32b-instruct,base_1,image,0.9925566526114694,Qwen2.5 VL 32B,Verbal steer
Bayesian,GPT-5 Mini,base_1,text,0.1620773249093375,GPT 5 Mini,Verbal steer
Bayesian,anthropic_claude-3.7-sonnet,base_1,text,0.38840354376904124,Claude 3.7 Sonnet,Verbal steer
Bayesian,gemma-3-4b-it,base_1,text,0.11447482681239209,Gemma 3 4B it,Verbal steer
Bayesian,google_gemini-2.5-flash-lite,base_1,text,0.42407209255652656,Gemini 2.5 Flash Lite,Verbal steer
Bayesian,meta-llama_llama-4-maverick,base_1,text,0.9791101309636758,Llama 4 Maverick,Verbal steer
Bayesian,microsoft_phi-4-multimodal-instruct,base_1,text,0.148023398205519,Phi 4 Multimodal,Verbal steer
Bayesian,mistralai_mistral-small-3.2-24b-instruct,base_1,text,0.2508867493219856,Mistral 24B,Verbal steer
Bayesian,openai_gpt-4o-2024-08-06,base_1,text,0.26241658398427614,GPT 4o,Verbal steer
Bayesian,qwen_qwen2.5-vl-32b-instruct,base_1,text,0.1618130751113846,Qwen2.5 VL 32B,Verbal steer
Bayesian,GPT-5 Mini,base_1,text_image,0.9658374818291369,GPT 5 Mini,Verbal steer
Bayesian,anthropic_claude-3.7-sonnet,base_1,text_image,0.9999999993623637,Claude 3.7 Sonnet,Verbal steer
Bayesian,gemma-3-4b-it,base_1,text_image,0.7737886333886969,Gemma 3 4B it,Verbal steer
Bayesian,google_gemini-2.5-flash-lite,base_1,text_image,1.0,Gemini 2.5 Flash Lite,Verbal steer
Bayesian,meta-llama_llama-4-maverick,base_1,text_image,0.33740264004647635,Llama 4 Maverick,Verbal steer
Bayesian,microsoft_phi-4-multimodal-instruct,base_1,text_image,0.14980443927627907,Phi 4 Multimodal,Verbal steer
Bayesian,mistralai_mistral-small-3.2-24b-instruct,base_1,text_image,0.15405518968429374,Mistral 24B,Verbal steer
